class,comment_sentence,labels,types
RTPopupTest,view object,[0 0 0 0 0 1 0],original
RTPopupTest,popup,[0 0 0 0 0 1 0],original
RTPopupTest,view,[0 0 0 0 0 1 0],original
RTRectangleAttachPoint,continuous attach point which presumes both shapes are not rotated rectangles,[0 0 1 0 0 0 0],original
RTRectangleAttachPoint,v rtview new.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,e1 rtbox new size 50 elementon 1.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,e2 rtellipse new size 50 elementon 2.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,v add e1 add e2.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,e2 translateby 30 @ 60.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,e1 @ rtdraggable.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,e2 @ rtdraggable.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,s rtarrowedline new color color black.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,s attachpoint rtrectangleattachpoint new.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,l s edgefrom e1 to e2.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,v add l.,[0 1 0 0 0 0 0],original
RTRectangleAttachPoint,v,[0 1 0 0 0 0 0],original
RTResizeCanceled,i am fired when resize operation is canceled globally for the whole view.,[0 0 1 0 0 0 0],original
RTResizeCanceled,dcrtresizable,[0 0 0 0 0 0 1],original
RTRotatedLabel,a rtrotatedlabel describes rotated labels.,[0 0 1 0 0 0 0],original
RTRotatedLabel,v shape es,[0 1 0 0 0 0 0],original
RTRotatedLabel,v rtview new.,[0 1 0 0 0 0 0],original
RTRotatedLabel,"shape rtrotatedlabel new text c class , c name angleindegree c c numberofmethods 360 .",[0 1 0 0 0 0 0],original
RTRotatedLabel,es shape elementson collection withallsubclasses.,[0 1 0 0 0 0 0],original
RTRotatedLabel,rtgridlayout on es.,[0 1 0 0 0 0 0],original
RTRotatedLabel,v addall es.,[0 1 0 0 0 0 0],original
RTRotatedLabel,v open,[0 1 0 0 0 0 0],original
RTScale,a class to have nice scales checks subclasses,[0 0 0 0 1 0 0],original
RTScrollBarBuilder,"more than a draggable view, it allows to keep a mark about your position in the view and it scale for large views.",[0 0 1 0 0 0 0],original
RTScrollBarBuilder,"it can be static, movable, using #isstatic or #ismovable",[0 0 0 0 0 1 0],original
RTScrollBarBuilder,"the default configuration is #isbasic and #isstatic,",[0 0 0 0 0 1 0],original
RTScrollBarBuilder,"the bar can have a specificity like #scalable, so it give an idea of the size of the view.",[0 0 0 0 0 1 0],original
RTScrollBarBuilder,width to set a static size of width.,[0 0 0 0 0 1 0],original
RTSmoothLayoutTranslator,move object,[0 0 0 0 0 1 0],original
RTSmoothLayoutTranslator,move,[0 0 0 0 0 1 0],original
RTSmoothLayoutTranslator,nbcycles,[0 0 0 0 0 1 0],original
RTSunburstBuilder,"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.",[0 0 1 0 1 0 0],original
RTSunburstBuilder,"you can customize the angle of the arc, and play with the with radius and width of each arc.",[0 0 1 0 0 0 0],original
RTSunburstBuilderExamples,code,[0 1 0 0 0 0 0],original
RTSunburstBuilderExamples,b rtsunburstbuilder new.,[0 1 0 0 0 0 0],original
RTSunburstBuilderExamples,b shape colorelement el el model subclasses isempty iftrue color purple iffalse color lightgray .,[0 1 0 0 0 0 0],original
RTSunburstBuilderExamples,b view @ rtdraggableview.,[0 1 0 0 0 0 0],original
RTSunburstBuilderExamples,^ b view,[0 1 0 0 0 0 0],original
RTSVGAbstractLine,a rtsvgabstractline refers to the common interface for both regular svg lines and bezier lines as paths .,[0 0 0 0 1 0 0],original
RTSVGAbstractLine,the decoration refers to the maker of the line.,[0 0 0 0 1 0 0],original
RTSVGPopup,a rtsvgpopup is any kind of popup born from a certain element.,[0 0 0 0 1 0 0],original
RTSVGPopup,the click refers to the posibility of activating the popup only when the element is clicked.,[0 0 1 0 0 0 0],original
RTSVGVisitor2Test,i am a simple test class for rtsvgvisitor2,[0 0 0 1 1 0 0],original
RTTextWord,a rttextword represents one word of an original text.,[0 0 0 0 1 1 0],original
RTTextWord,interval interval,[0 0 0 0 0 1 0],original
RTTextWord,text string text,[0 0 0 0 0 1 0],original
RTTextWord,interval,[0 0 0 0 0 1 0],original
RTTextWord,interval of the word in the original text,[0 0 0 0 0 1 0],original
RTTextWord,text,[0 0 0 0 0 1 0],original
RTTimelineSetTest,a rttimelinesettest is a test class for testing the behavior of rttimelineset,[0 0 1 1 1 0 1],original
RTTreeMapExampleTODELETE,examples of rttreemap,[0 0 0 1 1 0 0],original
RTVerticalMultipleData,rtverticalmultipledata represents a group of data points that are vertically located.,[0 0 0 0 1 0 1],original
RTVerticalMultipleData,each group has the same x value.,[1 0 0 0 0 0 0],original
RTVerticalMultipleData,negative data are not allowed.,[1 0 0 0 0 0 0],original
RTVerticalMultipleData,b rtgrapher new.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d points # # hello 1 2 1 # world 2 4 2 # bonjour 3 5 4 # bonjour 3 5 4 # bonjour 3 5 4 .,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d addmetric #third.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d barchartwithbartitle #first rotation 30.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,classes collection withallsubclasses reversesortedas #numberofmethods first 10.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,b rtgrapher new.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d points classes.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d addmetric #numberoflinesofcode.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d addmetric #numberofmethods.,[0 1 0 0 0 0 0],original
RTVerticalMultipleData,d barchartwithbartitle #name rotation 30.,[0 1 0 0 0 0 0],original
RTWeightedCircleLayout,rtweightedcirclelayout is a circle layout that gives more space to big elements and fewer space to small elements.,[0 0 1 0 1 0 0],original
RTWeightedCircleLayout,v rtview new.,[0 1 0 0 0 0 0],original
RTWeightedCircleLayout,elements rtellipse new size 5 color color red size vv vv 4 elementson 1 to 15 .,[0 1 0 0 0 0 0],original
RTWeightedCircleLayout,v addall elements.,[0 1 0 0 0 0 0],original
RTWeightedCircleLayout,rtweightedcirclelayout on elements.,[0 1 0 0 0 0 0],original
RTWeightedCircleLayout,v,[0 1 0 0 0 0 0],original
TROSMShape,this shape represent an openstreetmap background object which tracks the camera zoom level and translation to build a view of the corresponding part of the openstreetmap.,[0 0 1 0 1 1 0],original
TROSMShape,rectangle rectangle,[0 0 0 0 0 1 0],original
TROSMShape,tiles dictionary of point form,[0 0 0 0 0 1 0],original
TROSMShape,position,[0 0 0 0 0 1 0],original
TROSMShape,bounds of the shape,[0 0 0 0 0 1 0],original
TROSMShape,the scale of the shape,[0 0 0 0 0 1 0],original
TROSMShape,zoom,[0 0 0 0 0 1 0],original
TROSMShape,principle,[1 0 0 0 0 0 0],original
TROSMShape,lon to roassal space l 40075016686 l 360,[1 0 0 0 0 0 0],original
TROSMShape,remember working limit for lat lon is 8505113,[1 0 0 0 0 0 0],original
TROSMShape,"depending on the rtview size and the canvas parameters, get the right tiles from osm and display them.",[1 0 0 0 0 1 0],original
TROSMShape,algorithm,[1 0 0 0 0 0 0],original
TROSMShape,"from the camera, get the zoom level and offset.",[1 0 0 0 0 1 0],original
TROSMShape,compute the osm zoom level with the camera zoom value .,[1 0 0 0 0 1 0],original
TROSMShape,make remainder zoom a transform inside the trosmshape.,[1 0 0 0 0 1 0],original
TROSMShape,"take corners of bounding box, get lat long, get tiles x and y based on previous zoom level.",[1 0 0 0 0 1 0],original
TROSMShape,set clipping rectangle to trosmshape bounds.,[1 0 0 0 0 1 0],original
TROSMShape,display each tile.,[1 0 0 0 0 0 0],original
TROSMShape,cache each tile.,[1 0 0 0 0 0 0],original
TROSMShape,"when displaying, check if tile exists.",[1 0 0 0 0 0 0],original
TROSMShape,remove tile if not used in display.,[1 0 0 0 0 0 0],original
JQLoad,load html from a remote file and inject it into the dom.,[0 0 1 0 0 0 0],original
WABulkReapingCache,i am a cache that reaps all elements at once instead of incrementally.,[0 0 0 0 1 0 0],original
WABulkReapingCache,i am intended to be used in gemstone s instead of wahashcache.,[0 0 0 1 0 0 1],original
WABulkReapingCache,a background process should send #reap to me.,[0 0 0 0 0 0 1],original
WACancelButtonTag,creates a cancel submit button.,[0 0 1 0 0 0 0],original
WAComboResponse,wacomboresponse is a combination of a buffered and a streaming response.,[0 0 0 0 1 0 0],original
WAComboResponse,"if streaming is desired, the response can be flushed by sending it the #flush message.",[0 0 1 0 0 0 0],original
WAComboResponse,"for example, a search results page might use something like",[0 1 0 0 0 0 0],original
WAComboResponse,rendercontenton acanvas,[0 1 0 0 0 0 0],original
WAComboResponse,render the search page,[0 1 0 0 0 0 0],original
WAComboResponse,acanvas flush.,[0 1 0 0 0 0 0],original
WAComboResponse,self searchresultsdo aresult,[0 1 0 0 0 0 0],original
WAComboResponse,self rendersearchresulton acanvas.,[0 1 0 0 0 0 0],original
WAComboResponse,acanvas flush.,[0 1 0 0 0 0 0],original
WAComboResponse,flush after each search result,[0 1 0 0 0 0 0],original
WAComboResponse,"after a response has been flushed once, header modifications are no longer possible and will raise a waillegalstateexception.",[0 0 0 0 0 0 1],original
WAComboResponse,"server adaptors need to be aware that a committed response must be closed, when complete.",[0 0 0 0 0 0 1],original
WAComboResponse,an uncommitted response should be handled as usual by the server adapter.,[0 0 0 0 0 0 1],original
WACookie,i am basically a key value pair of strings.,[0 0 0 0 1 0 0],original
WACookie,http www^mnot.net blog 2006 10 27 cookie fun,[1 0 0 0 0 0 0],original
WACookie,netscape spec,[1 0 0 0 0 0 0],original
WACookie,http cgi^netscape.com newsref std cookie spec^html,[1 0 0 0 0 0 0],original
WACookie,cookie spec,[1 0 0 0 0 0 0],original
WACookie,http tools^ietf.org html rfc2109,[1 0 0 0 0 0 0],original
WACookie,cookie 2 spec,[1 0 0 0 0 0 0],original
WACookie,https tools^ietf.org html rfc6265,[1 0 0 0 0 0 0],original
WACookie,httponly,[1 0 0 0 0 0 0],original
WACookie,http msdn2^microsoft.com en us library ms533046^aspx,[1 0 0 0 0 0 0],original
WACookie,https bugzilla^mozilla.org show bug^cgi?id 178993,[1 0 0 0 0 0 0],original
WACookie,compared to warequestcookie i represent the information that is sent to the user agent.,[0 0 0 0 1 0 1],original
WADatalistTag,datalist together with the a new list attribute for input is used to make comboboxes,[0 1 1 0 0 0 0],original
WADatalistTag,input list browsers,[0 1 0 0 0 0 0],original
WADatalistTag,datalist id browsers,[0 1 0 0 0 0 0],original
WADatalistTag,option value safari,[0 1 0 0 0 0 0],original
WADatalistTag,option value internet explorer,[0 1 0 0 0 0 0],original
WADatalistTag,option value opera,[0 1 0 0 0 0 0],original
WADatalistTag,option value firefox,[0 1 0 0 0 0 0],original
WADatalistTag,datalist,[0 1 0 0 0 0 0],original
WADelayedAnswerDecoration,wadelayedanswerdecoration adds a delay in displaying a component.,[0 0 1 0 0 0 0],original
WADevelopment,a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,[0 0 1 0 1 0 0],original
WADynamicVariable,i exist for legacy purposes.,[0 0 1 0 0 0 0],original
WAEncoder,i encode everything that is written to myself using #nextput and #nextputall onto the wrapped stream.,[0 0 1 0 0 1 0],original
WAErrorHandler,waerrorhandler catches errors and warnings and provides two methods for handling each type of exception,[0 0 1 0 0 0 1],original
WAErrorHandler,handleerror,[0 0 0 1 0 1 0],original
WAErrorHandler,"if either method is not implemented, the default implementation will call #handledefault , which can be used to provide common behaviour for both exception types.",[1 0 0 0 0 0 0],original
WAExpiringCache,i am the abstract base class for caches that remove entries.,[0 0 0 0 1 0 0],original
WAExpiringCache,maximumsize integer,[0 0 0 0 0 1 0],original
WAExpiringCache,maximumrelativeage integer,[0 0 0 0 0 1 0],original
WAExpiringCache,maximumabsoluteage integer,[0 0 0 0 0 1 0],original
WAExpiringCache,maximumsize,[0 0 0 0 0 1 0],original
WAExpiringCache,when this limit is reached the overflow action is run.,[0 0 0 0 0 1 0],original
WAExpiringCache,0 for no maximum size.,[0 0 0 0 0 1 0],original
WAExpiringCache,maximumrelativeage,[0 0 0 0 0 1 0],original
WAExpiringCache,after so many seconds of inactivity a session is considered expired.,[0 0 0 0 0 1 0],original
WAExpiringCache,0 for no limit.,[0 0 0 0 0 1 0],original
WAExpiringCache,maximumabsoluteage,[0 0 0 0 0 1 0],original
WAExpiringCache,after so many seconds after its creation a session is considered expired no matter when it was last accessed.,[0 0 0 0 0 1 0],original
WAExpiringCache,0 for no limit.,[0 0 0 0 0 1 0],original
WAExpiringCache,only matters when the maximum size is bigger than 0.,[0 0 0 0 0 1 0],original
WAExpiringCache,possible values,[0 0 0 0 0 1 0],original
WAExpiringCache,#removerelativeoldest remove the entry that hasn t been accessed for the longest time,[0 0 0 0 0 1 0],original
WAExpiringCache,#removeabsoluteoldest remove the entry that has been created the longest time ago,[0 0 0 0 0 1 0],original
WAExpiringCache,#signalerror signal wamaximumnumberofsessionsexceedederror,[0 0 0 0 0 1 0],original
WAFormCharEncodingFromHandlerTest,i test that the encoding from the handler is taken if a handler is present but a codec is missing.,[0 0 1 0 0 0 0],original
WAFormDecoration,the buttons inst var must be set.,[0 0 0 0 0 1 0],original
WAFormDecoration,"for each string symbol in the buttons inst var the decorated component must implement a method of the same name, which is called when the button is selected.",[0 0 0 0 0 1 0],original
WAFormDecoration,buttons collection of strings or symbols,[0 0 0 0 0 1 0],original
WAFormDecoration,"list of strings or symbols, each string symbol is the label first letter capitalized for a button and the name of the callback method on component when button is pressed,",[0 0 0 0 0 1 0],original
WAFormTag,the form element acts as a container for input elements and buttons.,[0 0 1 0 0 0 1],original
WAFormTag,evaluation order,[1 0 0 0 0 0 0],original
WAFormTag,the input fields callbacks will be evaluated in the order they,[1 0 0 0 0 0 0],original
WAFormTag,appear in the xhtml.,[1 0 0 0 0 0 0],original
WAFormTag,"buttons will always be evaluated last, no matter",[1 0 0 0 0 0 0],original
WAFormTag,where they are positioned.,[1 0 0 0 0 0 0],original
WAIframeTag,the iframe element allows authors to insert a frame within a block of text.,[0 0 1 0 0 0 0],original
WAIframeTag,"inserting an inline frame within a section of text is much like inserting an object via the object element they both allow you to insert an html document in the middle of another, they may both be aligned with surrounding text, etc",[0 1 0 0 0 0 0],original
WAIframeTag,the information to be inserted inline is designated by the src attribute of this element.,[1 0 0 0 0 0 0],original
WAImageButtonTag,the value of the src attribute specifies the uri of the image that will decorate the button.,[0 0 1 0 0 0 0],original
WAImageStatus,a waimagestatus displays information about the current smalltalk image.,[0 0 1 0 0 0 0],original
WAInspector,"platforms should implement their own subclasses, specifying behaviour for all unimplemented methods.",[0 0 1 0 0 0 0],original
WAInvisibleSessionTrackingStrategy,for document handlers query fields are used.,[0 0 0 0 0 0 1],original
WALabelledFormDialog,walabelledformdialog is an abstract class for generating html forms.,[0 0 0 0 1 0 0],original
WALabelledFormDialog,given a data model walabelledformdialog displays a label and input field for each instance variable of interest.,[0 1 1 0 0 1 0],original
WALabelledFormDialog,user supplied data is placed in the data model.,[0 1 1 0 0 1 0],original
WALabelledFormDialog,"subclasses need to implment the methods labelforselector , model, and rows.",[0 0 0 0 0 1 0],original
WALabelledFormDialog,the model method just returns the object whose fields we wish to populate with date.,[0 1 0 0 0 1 0],original
WALabelledFormDialog,the rows method returns a collections of symbols.,[0 1 0 0 0 1 0],original
WALabelledFormDialog,the symbol is used generate the accessor methods for the data in the model.,[0 1 0 0 0 1 0],original
WALabelledFormDialog,a standard text input field is used for each row of data.,[0 0 1 0 0 0 0],original
WALabelledFormDialog,to use other html widgets for input for a datum implement the method renderxxxon where xxx is the symbol for the row.,[0 0 1 0 0 0 0],original
WALabelledFormDialog,see rendernameon in example below.,[0 0 1 0 0 0 0],original
WALabelledFormDialog,the default form has one button ok .,[1 1 0 0 0 1 0],original
WALabelledFormDialog,override the buttons method to change the text or number of submit buttons on the form.,[1 1 0 0 0 1 0],original
WALabelledFormDialog,override the defaultbutton method to indicate which button is the default.,[1 0 0 0 0 0 0],original
WALabelledFormDialog,"for each button in the form the subclass needs a method with the same name as the button, which is called when the user clicks that button.",[1 0 0 0 0 0 0],original
WALabelledFormDialog,see example below.,[1 0 0 0 0 0 0],original
WALabelledFormDialog,labelledformdialogexample subclass of walabelledformdialog instance methods,[0 1 0 0 0 0 0],original
WALabelledFormDialog,initialize,[0 1 0 0 0 0 0],original
WALabelledFormDialog,contact is an inst var,[0 1 0 0 0 0 0],original
WALabelledFormDialog,rendernameon html,[0 1 0 0 0 0 0],original
WALabelledFormDialog,show how to specily special input instead of using simple text field.,[0 1 0 0 0 0 0],original
WALabelledFormDialog,html select,[0 1 0 0 0 0 0],original
WALabelledFormDialog,list # roger pete,[0 1 0 0 0 0 0],original
WALabelledFormDialog,selected roger,[0 1 0 0 0 0 0],original
WALabelledFormDialog,callback v contact name v,[0 1 0 0 0 0 0],original
WALabelledFormDialog,"contact class used above has instance variables name, phonenumber with standard getter and setter methods",[0 0 0 0 0 1 0],original
WAListAttribute,walistattribute is an attribute that is restricted to a list of values.,[0 0 0 0 1 0 0],original
WAMemoryInput,a wamemoryinput is a dialog that allows the user to enter an amount of memory.,[0 0 1 0 1 0 0],original
WAMemoryInput,this is a seaside internal class.,[0 0 0 0 1 0 0],original
WAMemoryToolPlugin,i display the memory usage tool.,[0 0 1 0 0 0 0],original
WAObjectTag,defines an embedded object.,[0 0 0 0 1 0 0],original
WAOptionGroupTag,the optgroup element allows authors to group choices logically.,[0 0 1 0 0 0 0],original
WAOptionGroupTag,this is particularly helpful when the user must choose from a long list of options groups of related choices are easier to grasp and remember than a single long list of options.,[0 0 1 0 0 0 0],original
WAPainterVisitor,an implementation of the visitor pattern for painter subclasses.,[0 0 1 0 1 0 1],original
WAPath,wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,[0 0 1 0 1 0 0],original
WAPath,"wapath maintains a stack of associations, one for each location or page in the path.",[0 0 1 0 0 0 1],original
WAPath,the association key is the text that is displayed in the breadcrimb.,[0 0 0 0 0 0 1],original
WAPath,"the association value is an object of your choosing, which your code uses to restore that page .",[0 0 0 0 0 0 1],original
WAPath,to add to the path use the method wapath pushsegment anobject name lulu .,[0 0 0 0 0 1 0],original
WAPath,"the name arguement is the association key, the segment argument is the association value.",[0 0 0 0 0 1 0],original
WAPath,the method wapath currentsegment returns object associated with the current page .,[0 0 0 0 0 1 0],original
WAPath,your code is not notified when the user clicks on a link in the wapath object.,[0 0 0 0 0 1 0],original
WAPath,"so when you render a page call wapath currentsegment to get the current object, and generate the page accordingly.",[0 0 0 0 0 1 0],original
WAPath,see wainspector for example use.,[0 0 0 1 0 0 0],original
WAPath,use watrail to handle breadcrumbs for sequences of call and answers .,[0 0 0 1 0 0 0],original
WAPharoUrlEncoder,i am a pharo specific url encoder.,[0 0 0 0 1 0 0],original
WAPharoXmlEncoder,i am a pharo specific xml encoder.,[0 0 0 0 1 0 0],original
WAPlugin,i am an abstract root class for all plugins.,[0 0 0 0 1 0 0],original
WAPlugin,plugins are an easy way to add or remove additional tools without changing the codebase.,[0 0 1 0 0 0 0],original
WAPlugin,"the appearance of all plugins, such as icons, has to be configured using css.",[0 0 1 0 0 0 0],original
WAProtectionFilter,"do add this filter to a wasession for example to avoid session hijacking, do not add it to static request handlers such as waapplication or wadispatcher as this might restrict access to the handler if your ip changes.",[0 0 1 0 0 0 0],original
WARequestContext,warequestcontext encapsulates all the knowledge that should be available while processing a single request.,[0 0 1 0 0 0 0],original
WARequestContext,the request context is valid only during the request that caused it.,[1 0 0 0 0 0 0],original
WASelection,waselection creates a selectable list.,[0 1 1 0 0 0 0],original
WASelection,"if optional labelblock is not given the string versions of the items are displayed to user, otherwise labelblock is used to generate the text to display for each item.",[1 0 0 0 0 0 0],original
WASelection,"returns the item selected by user, not the index nor the text shown the user .",[1 0 0 0 0 0 0],original
WASelection,selection,[0 1 0 0 0 0 0],original
WASelection,selection,[0 1 0 0 0 0 0],original
WASelection,labelblock item item 1 iftrue first iffalse item asuppercase .,[0 1 0 0 0 0 0],original
WASelection,self inform result printstring,[0 1 0 0 0 0 0],original
WAServerAdaptor,a waserver is the abstract base class for all servers.,[0 0 0 0 1 0 0],original
WAServerAdaptor,#codec,[0 0 0 0 0 1 0],original
WAServerAdaptor,#usessmalltalkencoding,[0 0 0 0 0 1 0],original
WAServerAdaptor,codec wacodec,[0 0 0 0 0 1 0],original
WAServerAdaptor,codec,[0 0 0 0 0 1 0],original
WATagBrush,this is the superclass for all xml element classes.,[0 0 0 0 1 0 0],original
WATagBrush,its main additions are,[1 0 0 0 0 0 0],original
WATagBrush,element name #tag,[1 0 0 0 0 0 0],original
WATagBrush,attributes instance of wahtmlattributes,[1 0 0 0 0 0 0],original
WATagBrush,"common events onxxx , this is a hack and would better be solved with traits",[1 0 0 0 0 0 0],original
WAUpTimeTracker,wauptimetracker is used to track the timestamp when the image last booted.,[0 0 1 0 0 0 0],original
WAUpTimeTracker,access the timestamp when the image booted as follows,[0 0 1 0 0 1 1],original
WAUpTimeTracker,access the duration how long ago the image booted as follows,[0 0 1 0 0 1 1],original
WAUpTimeTracker,at system startup the imageboottime is re set automatically.,[0 0 1 0 0 1 1],original
WAUrlAttribute,waurlattribute represents a url attribute.,[0 0 0 0 1 0 0],original
WAUrlAttribute,it converts between text entered on the configuration page and waurl instances.,[0 0 1 0 0 0 0],original
BlAnchorRelativeToElement,relative anchor takes any element as a reference and calculates its position based on the properties of that element.,[0 0 1 0 0 0 0],de
BlArrowheadSimpleArrow,I'm a simple arrow like the arrowhead.,[0 0 0 0 1 0 0],de
BlArrowheadSimpleArrow,both my size and my arrow length depend on the curve width.,[0 0 0 0 1 0 0],de
BlArrowheadSimpleArrow,"It is possible to adjust a break in length, how long the outer arrow should be compared to the length of the side of a nasal triangle.",[0 0 0 0 0 1 0],de
BlArrowheadTriangle,I'm a triangular arrowhead.,[0 0 0 0 1 0 0],de
BlArrowheadTriangle,it is possible to have a border around the triangle by specifying a margin of a triangle arrow tip.,[1 0 0 0 0 0 0],de
BlArrowheadTriangle,for fixed arrow tip make background color to be the same as edge color.,[0 0 1 0 0 0 0],de
BlChicken,Bleaching open,[0 1 0 0 0 0 0],de
BlChildrenCollection,i provide a data structure independent api for adding and removing children.,[0 0 1 0 0 0 0],de
BlChildrenCollection,I allow the elements to optimize working with children for different scenarios.,[0 0 1 0 0 0 0],de
BlChildrenCollection,Optimize a linked list for quick addition and removal.,[0 0 1 0 0 0 0],de
BlChildrenCollection,"a rope uses a balanced binary tree to support fast addition, removal and access, with the disadvantage of taking more memory.",[0 0 1 0 0 0 0],de
BlChildrenCollection,class Blchildrenarray saves children with a class array,[0 0 0 1 0 0 0],de
BlChildrenCollection,class Blchildrenlinkedlist saves children with a class linkedlist,[0 0 0 1 0 0 0],de
BlChildrenCollection,class blchildrenorderedcollection stores children with a class orderedcollection,[0 0 0 1 0 0 0],de
BlChildrenOrderedCollectionExamples,I define examples of the class blchildrenorderedcollection.,[0 0 1 0 0 0 0],de
BlChildrenSubset,I'm recording a subset of kids from a class-blade instance.,[0 0 1 0 0 0 0],de
BlChildrenSubset,I'm an abstract class.,[0 0 0 0 1 0 0],de
BlChildrenSubset,I exist to explicitly capture and combine different types of filtering and iteration over children.,[0 0 1 0 0 0 0],de
BlChildrenSubset,I don't force a lazy Api.,[0 0 0 0 0 1 0],de
BlChildrenSubset,Api,[0 0 0 0 0 1 0],de
BlChildrenSubset,I create instances by calling the blchildrensubset class #on factory method to a subclass with an instance of class blchildren as parameter.,[0 0 0 0 0 1 0],de
BlChildrenSubset,Implementation details,[1 0 0 0 0 0 0],de
BlChildrenSubset,This result is then used when accessing or iterating over elements.,[1 0 0 0 0 0 0],de
BlClickEvent,the click event is triggered when a pointer key is pressed a mouse primary key and released on a single element.,[1 0 1 0 0 0 0],de
BlClickEvent,the order of the fired events,[1 0 0 0 0 0 0],de
BlClickEvent,Mouse Up,[1 0 0 0 0 0 0],de
BlCompulsoryCombinationTest,This class includes tests,[0 0 1 0 0 0 0],de
BlDecelerateInterpolator,Setting factor to 10f generates a headover y x^2 parabola.,[1 0 0 0 0 0 0],de
BlDecelerateInterpolator,My formula is:,[1 0 0 0 0 0 0],de
BlDecelerateInterpolator,"f x 1 1 x ^n, where n 2 factor",[1 0 0 0 0 0 0],de
BlDecelerateInterpolator,"I wanted to be unchangeable, so the factor can only be set with the factory method #factor on my class side.",[1 0 0 0 0 0 0],de
BlDevScripterCheckFiredEventsStep,I'm checking to see if certain class events have been fired at a target.,[0 0 1 0 0 0 0],de
BlDevScripterCheckFiredEventsStep,Here you can see how to configure a fire and check a click event on a child element,[0 1 0 0 0 0 0],de
BlDevScripterClickStep,"I fire a class blmousedownevent, class blmouseupevent and class blclickevent.",[0 0 1 1 0 0 0],de
BlDevScripterClickStep,Here you can see how to configure a fire and check a click event on a child element,[0 1 0 0 0 0 0],de
BlDragDelegate,drag delegated provides drag elements when a visual element lifts.,[0 0 1 0 0 0 0],de
BlDragDelegate,Drag gesture fails if there are no drag elements,[0 0 1 0 0 0 0],de
BlElementBoundsExamples,I contain examples of element boundaries api,[0 0 1 0 0 0 0],de
BlElementDynamicTransformation,I am dynamic element transformation in the sense that my transformation matrix can actually depend on some element properties like #extent or #position.,[0 0 1 0 1 0 0],de
BlElementDynamicTransformation,This means that the matrix calculation will only be performed if it is requested taking into account the ownership element.,[1 0 0 0 0 0 0],de
BlElementEffect,I'm the abstract root class for effects.,[0 0 0 0 1 0 0],de
BlElementEffect,I define the standard drawing strategy before & after .,[0 0 1 0 0 0 0],de
BlElementEffect,I can influence the boundaries of my owner to clip my owner.,[0 0 1 0 0 0 0],de
BlElementPositionChangeTest,I contain examples of position change logging functionality,[0 0 1 0 0 0 0],de
BlElementRemovedEvent,is sent by an element after it is removed from the parent.,[0 0 0 0 0 0 1],de
BlElementRemovedEvent,Parents of children,[0 1 0 0 0 0 0],de
BlElementRemovedEvent,child blank new.,[0 1 0 0 0 0 0],de
BlElementRemovedEvent,Child when blankremovedevent itself inform from parents removed.,[0 1 0 0 0 0 0],de
BlElementRemovedEvent,Parents blank new.,[0 1 0 0 0 0 0],de
BlElementRemovedEvent,Parent child.,[0 1 0 0 0 0 0],de
BlElementRemovedEvent,Remove ParentsChild Child,[0 1 0 0 0 0 0],de
BlElementSelectionAcquiredEvent,is sent when element enters within the mouse selection rectangle or when the overlapping rectangle formed by element-s borders and selection rectangle changes.,[0 0 0 0 0 0 1],de
BlExampleCustomEventTarget,I am an example of a custom event goal without an element that can be nicely integrated into block infrastructure,[0 0 1 0 1 0 0],de
BlExampleElementWithBrokenOnLayout,I am an element with a broken onlayout method that throws bugs subscriptoutofbounds,[0 0 1 0 1 0 0],de
BlExperimentalExamples,I contain experimental examples that only work in manually prepared laboratory environments.,[0 0 1 0 0 0 0],de
BlFocusExamples,how to,[0 1 0 0 0 0 0],de
BlFocusExamples,2 click on any cell to give it a focus blue edge should appear,[0 1 0 0 0 0 0],de
BlFocusExamples,3 Navigate with Arrows Arrow Down Left Right,[0 1 0 0 0 0 0],de
BlGeometry,geometry is used to define the geometry to be drawn and the interaction range.,[0 0 1 0 0 0 1],de
BlGeometryAnchorListener,I am an event listener who hears anchor moving event by anchor sending,[0 0 1 0 1 0 1],de
BlGeometryAnchorMoved,I will be sent when the position of the anchor has been changed,[0 0 1 0 0 0 0],de
BlGeometryElement,I am a root class of geometric elements driven by geometric anchors.,[0 0 1 0 1 0 0],de
BlGridLayout,i Layout elements in a rectangular grid.,[0 0 1 0 0 0 0],de
